iter	Passed	Remaining
0	136	136346
1	138	69272
2	141	46905
3	144	35861
4	146	29147
5	148	24614
6	151	21471
7	153	19056
8	156	17185
9	158	15697
10	160	14474
11	163	13499
12	166	12657
13	170	11978
14	172	11320
15	175	10775
16	177	10254
17	179	9814
18	182	9413
19	184	9054
20	187	8753
21	190	8482
22	193	8231
23	196	7985
24	198	7753
25	201	7541
26	203	7341
27	205	7151
28	209	6999
29	211	6840
30	214	6692
31	216	6547
32	219	6419
33	221	6285
34	224	6178
35	226	6060
36	228	5950
37	232	5883
38	235	5797
39	237	5697
40	239	5611
41	242	5523
42	244	5439
43	246	5360
44	249	5285
45	251	5211
46	254	5163
47	257	5098
48	259	5032
49	261	4975
50	264	4912
51	266	4862
52	268	4805
53	271	4749
54	273	4705
55	276	4658
56	279	4619
57	281	4573
58	283	4529
59	286	4483
60	288	4440
61	290	4397
62	293	4358
63	295	4317
64	297	4278
65	300	4249
66	302	4218
67	304	4179
68	307	4143
69	309	4109
70	311	4075
71	313	4043
72	316	4016
73	318	3984
74	321	3963
75	323	3936
76	326	3914
77	328	3886
78	335	3910
79	338	3894
80	340	3865
81	342	3838
82	346	3829
83	350	3821
84	352	3790
85	354	3767
86	356	3736
87	358	3713
88	360	3690
89	362	3668
90	364	3645
91	367	3631
92	370	3616
93	373	3596
94	375	3577
95	378	3560
96	380	3542
97	382	3524
98	385	3505
99	387	3487
100	390	3477
101	392	3457
102	395	3440
103	397	3424
104	399	3408
105	402	3390
106	404	3373
107	406	3355
108	408	3340
109	411	3329
110	414	3315
111	416	3303
112	418	3288
113	421	3273
114	423	3258
115	425	3240
116	427	3226
117	430	3215
118	431	3197
119	434	3189
120	437	3175
121	439	3161
122	440	3141
123	442	3129
124	445	3118
125	447	3106
126	450	3095
127	451	3078
128	454	3066
129	458	3070
130	461	3061
131	464	3051
132	466	3043
133	469	3031
134	472	3024
135	474	3012
136	476	3002
137	479	2992
138	481	2982
139	483	2972
140	486	2962
141	488	2953
142	490	2942
143	493	2932
144	495	2923
145	498	2913
146	501	2908
147	503	2899
148	506	2891
149	508	2882
150	511	2874
151	513	2866
152	516	2856
153	518	2846
154	520	2838
155	523	2833
156	526	2824
157	528	2815
158	530	2805
159	532	2798
160	535	2789
161	537	2781
162	539	2772
163	541	2762
164	544	2756
165	547	2750
166	549	2742
167	552	2734
168	554	2728
169	556	2719
170	559	2712
171	561	2705
172	564	2697
173	566	2689
174	569	2686
175	572	2678
176	574	2670
177	577	2665
178	579	2658
179	582	2652
180	583	2639
181	585	2631
182	588	2626
183	591	2622
184	593	2615
185	596	2608
186	599	2605
187	601	2597
188	603	2591
189	606	2585
190	608	2579
191	611	2572
192	614	2569
193	617	2563
194	619	2558
195	622	2551
196	624	2545
197	626	2537
198	628	2530
199	631	2524
200	633	2517
201	636	2514
202	639	2509
203	641	2504
204	644	2498
205	646	2491
206	648	2486
207	651	2479
208	653	2473
209	655	2467
210	658	2462
211	660	2456
212	663	2451
213	665	2444
214	667	2438
215	670	2432
216	672	2425
217	674	2421
218	677	2414
219	679	2410
220	682	2404
221	684	2398
222	686	2392
223	688	2386
224	690	2379
225	693	2374
226	697	2375
227	703	2383
228	706	2377
